tipo;nombre;stream   
APP;DWH Activos Fijos - Reportes de Activos en Obras en Ejecucion - EBS FA;APP QVD DATAWAREHOUSE
APP;DWH Almacenes - Costo por Articulo Discreta - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Comercial - BOL OM Detalle de Productos Pendientes por Org. TXT - EBS OM (Inc.);APP QVD DATAWAREHOUSE
APP;DWH Comercial - Registro de Llamadas - Avaya;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Sap Lista de Precios;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Proveedores - EBS PO;APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - Balance Consolidado - EBS FSG 2024;APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - Saldos Contables - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH Costos - Consumo Produccion - EBS;APP QVD DATAWAREHOUSE
APP;DWH Costos - Inf. Detallado de Costo de Articulos - EBS OPM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Horas Trabajadas - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Resumen de Facturacion Taller - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion Roadnet;APP QVD DATAWAREHOUSE
APP;DWH Experience - Reclamos GMC - Excel SIG;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Mortalidad & Ganancia Peso - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Pesaje Publico Tolvas - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Mejora Continua - Recepciones de Aves - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Movimientos Contables - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH - Ajuste de Costo - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Recepciones y Liquidaciones de Aves - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Activos Fijos - Depreciaciones Mensual Activos Fijos - EBS FA;APP QVD DATAWAREHOUSE
APP;DWH Cartera - Estado Documento - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Cartera - Recibos - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Activos - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - EERR Consolidado - EBS FSG 2024;APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - EERR por Empresa - EBS FSG - EBS-C;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Hoja Carga - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Pesaje Publico Tolvas - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Reporte de Fallas - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Pollito BB - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Recepciones Pollo Vivo FAE - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Planificacion - Demanda Suministros - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Importaciones - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Movimiento Almacenes Diarios - EBS;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Calendario Contable - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Calendario Gregoriano - EBS Custom;APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - EERR Consolidado - EBS FSG 2025, no borrar 01-02;APP QVD DATAWAREHOUSE
APP;DWH Finanzas - Detalle de la Deuda - EBS TR (Inc.);APP QVD DATAWAREHOUSE
APP;DWH Activos Fijos - Informe Baja Activos por Tipo - EBS FA;APP QVD DATAWAREHOUSE
APP;DWH Tributos - Libro de Ventas SFE Nuevo - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Gestion Pagos - Retenciones - EBS AP;APP QVD DATAWAREHOUSE
APP;DWH - Estado Recibos - EBS AR;APP QVD DATAWAREHOUSE
